Voltage,Current,Active Power,Reactive Power,Power Factor,Frequency,Time,Power
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347915.6754928,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347916.7884367,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347917.891594,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347918.99327,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347920.0808427,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347921.1890147,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347922.3003738,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347923.4107556,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347924.5152209,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347925.6181335,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347926.7230601,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347927.832248,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347928.9414093,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347930.0466933,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347931.157085,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347932.2798667,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347933.3852904,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347934.478269,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347935.578254,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347936.6695669,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347937.7712467,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347938.8796668,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347939.9864306,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347941.0959866,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347942.203637,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347943.305626,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347944.3932621,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347945.4878044,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347946.6013644,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347947.7002463,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347948.7852924,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347949.8961945,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347950.9982784,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347952.1081557,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347953.217993,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347954.3323615,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347955.444521,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347956.5471592,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347957.647141,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347958.7604675,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347959.8704836,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347960.9803634,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347962.0920522,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347963.2043076,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347964.3043883,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347965.402832,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347966.5154135,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347967.6254163,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347968.7284203,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347969.829401,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347970.9432049,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347972.056386,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347973.1694844,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347974.2813373,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347975.3846877,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347976.4959998,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347977.6095796,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347978.6940002,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347979.8075998,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347980.9189837,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347982.021685,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347983.13495,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347984.2475483,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347985.3638685,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347986.448843,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347987.55225,0.0
1668.8,0.0,16576.0,0.0,17.53,0.0,1734347988.651332,0.0
